0.005,128.0
0.01,89.3
0.015,62.4
0.02,65.3
0.025,64.7
0.03,59.2
0.035,60.4
0.04,62.7
0.045,68.5
0.05,61.8
0.055,57.8
0.06,57.7
0.065,59.4
0.07,68.3
0.075,60.6
0.08,60.4
0.085,59.1
0.09,62.7
0.095,55.8
0.1,62.2
0.105,66.4
0.11,68.6
0.115,64.1
0.12,77.4
0.125,61.5
0.13,60.8
0.135,63.4
0.14,61.6
0.145,59.3
0.15,72.2
0.155,67.5
0.16,64.1
0.165,61.1
0.17,64.4
0.175,61.2
0.18,60.3
0.185,80.8
0.19,63.6
0.195,69.6
0.2,60.2
0.205,64.3
0.21,62.6
0.215,63.5
0.22,68.7
0.225,64.6
0.23,68.5
0.235,82.8
0.24,66.0
0.245,72.2
0.25,67.7
